Year,For Basics Simulation,Simulation with added variable,Infant Mortality rate is 25%,Infant Mortality rate is 25% which decreases by 1.5% every year,"with Disaster chances, once in 10 year",Simulation with Default Code
1,53,104,101,101,102,52
2,57,109,105,104,103,57
3,61,113,106,105,104,58
4,66,119,106,109,108,58
5,70,122,110,110,112,58
6,76,122,113,111,113,59
7,81,124,115,113,115,61
8,87,125,117,117,117,62
9,93,127,118,121,95,63
10,100,128,119,122,96,63
11,107,128,120,123,96,63
12,115,130,122,125,96,57
13,123,130,122,126,97,58
14,132,131,123,126,97,58
15,142,131,124,127,97,58
16,152,131,125,128,97,58
17,163,131,125,128,97,58
18,175,131,125,128,97,58
19,188,131,125,128,97,58
20,202,131,125,128,97,59
21,216,133,125,128,97,59
22,232,134,125,128,97,60
23,249,135,125,128,97,61
24,267,136,126,129,97,62
25,286,139,126,129,98,64
26,307,140,127,130,98,65
27,329,140,128,131,98,68
28,353,143,128,134,102,71
29,378,145,129,135,103,61
30,406,149,130,137,104,62
31,435,152,132,138,105,63
32,467,149,134,137,102,62
33,500,146,134,139,100,64
34,537,149,134,138,97,61
35,575,147,131,141,97,59
36,617,144,126,140,85,59
37,662,143,125,140,82,61
38,710,139,125,139,82,61
39,761,137,122,136,83,54
40,816,136,122,133,80,54
41,875,131,120,127,78,54
42,938,128,118,123,77,54
43,1006,124,117,121,76,54
44,1079,124,115,118,75,55
45,1157,127,115,118,75,53
46,1241,128,115,116,74,53
47,1331,128,113,113,73,53
48,1427,126,112,112,69,55
49,1530,125,110,111,68,55
50,1641,128,106,108,61,46
51,1760,129,105,107,62,46
52,1887,128,102,104,62,46
53,2023,130,100,101,61,47
54,2170,133,96,97,60,50
55,2327,133,94,98,58,52
56,2495,135,90,97,59,48
57,2676,137,88,99,57,49
58,2869,139,87,98,50,43
59,3077,138,85,96,49,43
60,3299,135,85,97,50,44
61,3538,134,84,93,50,45
62,3794,136,82,94,49,46
63,4068,139,81,91,49,49
64,4362,140,80,92,49,50
65,4678,141,80,90,48,53
66,5016,139,78,89,48,54
67,5379,141,78,92,48,55
68,5768,142,75,92,49,56
69,6185,142,74,93,43,57
70,6633,142,73,96,43,57
71,7112,145,76,96,44,57
72,7627,148,76,97,44,58
73,8178,150,77,98,45,59
74,8770,154,80,101,46,59
75,9404,158,80,103,47,61
76,,163,80,105,48,63
77,,166,82,107,50,65
78,,172,85,107,52,55
79,,177,85,107,53,58
80,,182,85,108,54,60
81,,188,85,109,58,64
82,,194,85,112,59,64
83,,196,84,112,59,65
84,,197,83,113,60,65
85,,196,83,112,62,66
86,,197,81,110,61,66
87,,197,82,110,59,68
88,,201,80,109,57,68
89,,201,79,107,57,68
90,,202,78,103,56,69
91,,204,79,103,55,71
92,,210,78,101,57,72
93,,212,77,102,56,72
94,,215,77,102,56,67
95,,221,78,103,57,68
96,,226,80,103,58,70
97,,230,80,106,58,71
98,,235,82,105,60,72
99,,238,84,107,62,73
100,,243,84,108,62,77
101,,246,85,109,63,78
102,,249,85,111,65,80
103,,253,85,113,67,75
104,,257,86,114,68,76
105,,259,86,116,68,79
106,,261,87,118,69,80
107,,264,89,118,70,80
108,,268,88,119,71,82
109,,269,88,117,69,86
110,,276,89,118,68,87
111,,281,89,118,66,91
112,,286,89,120,67,93
113,,286,87,120,60,95
114,,289,86,119,60,97
115,,294,86,121,60,99
116,,296,87,118,60,99
117,,300,86,115,60,100
118,,304,87,114,60,102
119,,309,87,114,63,104
120,,316,86,114,63,106
121,,323,85,115,65,108
122,,329,85,115,66,110
123,,332,86,115,56,111
124,,335,85,117,58,106
125,,338,85,117,59,108
126,,342,83,118,60,110
127,,344,82,119,61,111
128,,343,84,122,55,111
129,,348,85,123,56,115
130,,353,85,125,56,118
131,,356,85,128,56,121
132,,358,85,130,58,124
133,,361,85,131,60,128
134,,364,84,134,61,129
135,,370,83,136,63,129
136,,371,84,140,64,128
137,,376,86,140,64,128
138,,381,85,141,64,127
139,,383,85,142,64,127
140,,385,86,142,65,110
141,,388,85,141,66,110
142,,390,85,144,66,111
143,,394,84,146,67,112
144,,398,83,149,57,112
145,,403,81,150,57,113
146,,409,81,150,58,114
147,,414,81,151,58,117
148,,421,81,153,59,118
149,,424,81,154,60,119
150,,426,82,153,61,123
151,,430,82,154,64,125
152,,435,83,155,65,127
153,,440,82,154,69,129
154,,447,81,154,70,133
155,,451,79,157,72,135
156,,454,78,156,74,136
157,,458,78,160,74,137
158,,465,77,162,76,139
159,,465,77,165,78,139
160,,470,75,167,80,141
161,,476,74,173,67,132
162,,481,74,176,67,133
163,,491,74,178,68,134
164,,495,74,181,69,135
165,,497,74,184,69,135
166,,501,73,185,60,139
167,,511,72,190,60,140
168,,521,72,194,61,140
169,,528,72,197,61,140
170,,535,70,203,62,140
171,,538,71,208,63,140
172,,546,72,209,64,141
173,,552,73,210,66,143
174,,561,71,210,68,142
175,,564,70,214,71,146
176,,570,69,214,72,147
177,,579,70,214,74,147
178,,580,68,212,74,148
179,,585,67,213,77,151
180,,590,65,216,78,153
181,,595,65,225,80,155
182,,597,65,229,83,157
183,,602,65,235,85,157
184,,606,64,238,88,158
185,,614,64,241,91,158
186,,622,65,244,93,157
187,,633,64,249,94,156
188,,640,62,252,94,158
189,,649,62,252,95,158
190,,661,62,258,96,156
191,,666,61,264,96,154
192,,673,60,268,98,153
193,,682,60,273,100,152
194,,694,59,278,101,152
195,,705,58,283,104,150
196,,713,58,284,105,149
197,,723,57,285,106,149
198,,728,56,288,110,152
199,,736,57,289,96,154
200,,747,57,289,81,154
201,,755,58,292,72,153
202,,757,61,294,75,152
203,,765,62,295,76,151
204,,769,63,298,77,151
205,,775,63,297,79,153
206,,787,65,304,81,131
207,,795,66,303,84,133
208,,812,67,305,85,138
209,,829,66,303,87,142
210,,833,64,304,91,144
211,,849,64,308,91,149
212,,853,63,307,93,150
213,,864,63,309,96,150
214,,877,63,316,99,152
215,,887,63,320,87,153
216,,898,63,321,83,156
217,,910,62,322,86,157
218,,924,60,324,88,157
219,,937,60,327,89,159
220,,948,60,330,94,160
221,,963,60,334,96,160
222,,976,60,340,96,159
223,,988,59,344,97,160
224,,996,58,349,88,161
225,,1015,58,349,77,161
226,,1030,59,352,65,163
227,,1039,57,355,67,168
228,,1052,56,353,70,173
229,,1057,55,357,74,175
230,,1075,53,362,76,178
